95
1415,1
1601,0
1611,1
1711,0
1908,1
2209,0
2738,1
3187,0
3891,1
4492,1
5211,1
5901,0
6337,1
6840,0
7117,1
7378,0
7368,1
7444,0
7435,1
2570,1
2891,0
3230,1
3461,1
3817,0
4060,1
3820,0
3465,1
3233,1
2895,0
4903,1
5137,0
5487,1
5717,1
6055,0
6276,1
6059,0
5722,1
5492,1
5141,0
3016,1
3127,0
3240,1
3357,0
3590,1
3709,0
3831,1
3713,0
3595,1
3477,0
3246,1
3130,0
5150,1
5150,0
5382,1
5499,0
5615,1
5729,0
5957,1
5732,0
5619,1
5504,0
5387,1
5151,0
4188,1
4196,0
4203,1
3967,0
3971,1
4333,1
4697,1
5055,1
5168,0
4806,1
4798,0
4791,1
3630,1
3983,0
4222,1
4463,0
4824,1
5066,0
5423,1
5071,0
4834,0
4474,1
4231,0
3988,0
8943,0
8946,0
4466,0
8951,0
5187,0
4829,0
4466,0
4226,0
