95
1415,1
1601,1
1611,1
1711,1
1908,1
2209,1
2738,1
3187,1
3891,1
4492,1
5211,1
5901,1
6337,1
6840,1
7117,1
7378,1
7368,1
7444,1
7435,1
2570,1
2891,1
3230,1
3461,1
3817,1
4060,1
3820,1
3465,1
3233,1
2895,1
4903,1
5137,1
5487,1
5717,1
6055,1
6276,1
6059,1
5722,1
5492,1
5141,1
3016,1
3127,1
3240,1
3357,1
3590,1
3709,1
3831,1
3713,1
3595,1
3477,1
3246,1
3130,1
5150,1
5150,1
5382,1
5499,1
5615,1
5729,1
5957,1
5732,1
5619,1
5504,1
5387,1
5151,1
4188,1
4196,1
4203,1
3967,1
3971,1
4333,1
4697,1
5055,1
5168,1
4806,1
4798,1
4791,1
3630,1
3983,1
4222,1
4463,1
4824,1
5066,1
5423,1
5071,1
4834,1
4474,1
4231,1
3988,1
8943,1
8946,1
4466,1
8951,1
5187,1
4829,1
4466,1
4226,1
